date,open,close,change,pct,low,high,volume,amount,turnover
2026-07-27,32.45,31.77,0.26,0.83%,31.13,32.45,2316589,731515,1.12%
2026-07-28,31.2,31.69,-0.08,-0.25%,31.03,31.8,1870630,587593,0.91%
2026-07-29,31.94,32.15,0.46,1.45%,31.18,32.29,2156163,685940,1.05%
2026-07-30,32.63,32.7,0.55,1.71%,32.01,33.18,2842980,923789,1.38%
2026-07-31,32.38,32.95,0.25,0.76%,32.27,33.48,2842479,934757,1.38%
2026-08-03,32.7,32.55,-0.4,-1.21%,31.69,32.94,2195419,709570,1.07%
2026-08-04,32.45,32.12,-0.43,-1.32%,31.85,32.85,2066598,664197,1.00%
2026-08-05,32.39,34.1,1.98,6.16%,32.38,34.22,4306670,1444480,2.09%
2026-08-06,35.38,34.5,0.4,1.17%,34.15,35.8,4026674,1406362,1.95%
2026-08-07,34.09,35.15,0.65,1.88%,34.06,35.34,2747124,958218,1.33%
2026-08-10,35.18,35.45,0.3,0.85%,34.71,35.6,2736505,964171,1.33%
2026-08-11,35.66,33.18,-2.27,-6.40%,33.11,35.77,4475414,1529873,2.17%
2026-08-12,33.19,33.58,0.4,1.21%,33.18,34.08,2044842,687669,0.99%
2026-08-13,33.58,32.21,-1.37,-4.08%,32.11,33.84,3309070,1085687,1.61%
2026-08-14,31.8,32.53,0.32,0.99%,31.75,32.66,1943765,627685,0.94%
2026-08-17,33.33,33.36,0.83,2.55%,33.01,33.65,1971968,655844,0.96%
2026-08-18,33.36,33.56,0.2,0.60%,32.87,33.58,1845214,612847,0.90%
2026-08-19,32.5,32.76,-0.8,-2.38%,32.35,33.28,1898576,621795,0.92%
2026-08-20,34.0,34.25,1.49,4.55%,33.87,35.08,4115787,1417891,2.00%
2026-08-21,34.25,34.74,0.91,2.69%,33.6,34.87,3007017,1033856,1.46%
2026-08-24,35.4,34.54,-0.2,-0.58%,34.16,35.47,3376482,1175147,1.64%
2026-08-25,34.7,33.68,-0.86,-2.49%,33.4,34.7,2515654,850438,1.22%
2026-08-26,33.7,34.47,0.79,2.35%,33.7,35.35,3142352,1092414,1.53%
2026-08-27,33.8,34.57,0.1,0.29%,33.79,34.86,2314388,798737,1.12%
2026-08-28,34.5,34.65,0.08,0.23%,33.7,34.67,1997115,683981,0.97%
2026-08-31,33.0,33.67,-0.98,-2.83%,32.6,33.75,2966399,984498,1.44%
2026-09-01,33.67,33.73,0.06,0.18%,33.49,34.19,1591142,537744,0.77%
2026-09-02,32.89,32.95,-0.78,-2.31%,32.19,33.23,2372155,776151,1.15%
2026-09-03,33.25,33.31,0.36,1.09%,32.95,33.66,1695898,565681,0.82%
2026-09-04,33.85,33.35,0.04,0.12%,33.07,34.05,1769341,593906,0.86%
2026-09-07,32.7,32.87,-0.48,-1.44%,32.61,33.22,1495597,493078,0.73%
2026-09-08,33.44,33.86,0.99,3.01%,33.24,34.14,2502415,845998,1.21%
2026-09-09,33.87,34.4,0.54,1.59%,33.49,34.53,1990935,680297,0.97%
2026-09-10,34.08,34.11,-0.29,-0.84%,33.97,34.39,998200,340705,0.48%
2026-09-11,32.5,32.26,-1.85,-5.42%,31.45,32.68,3799017,1217996,1.84%
2026-09-14,31.78,32.25,-0.01,-0.03%,31.7,32.49,1548053,499056,0.75%
2026-09-15,32.06,31.68,-0.57,-1.77%,31.53,32.2,1302033,414668,0.63%
2026-09-16,31.77,32.17,0.49,1.55%,31.16,32.47,1896368,603873,0.92%
